Date  ,Season  ,Composer: Work,Soloist / Instrument,Conductor  ,Orchestra  ,Venue  ,City
,,"Ludwig van Beethoven :  Leonore Overture No. 2, Op. 72a",,,,,
2/25/1882,1881-82 Symphony Season,"Robert Schumann :  Manfred, Op. 115: Overture",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Camille Saint-Saëns :  Concerto for Piano No. 4 in C minor, Op. 44",Madeline Schiller / Piano,,,,
,,"Johannes Brahms :  Symphony No. 2 in D major, Op. 73",,,,,
,,"Frédéric Chopin :  Ballade No. 3 in A-flat major for piano solo, Op. 47",Madeline Schiller / Piano,,,,
,,"Ludwig van Beethoven :  Leonore Overture No. 2, Op. 72a",,,,,
3/1/1882,1881-82 Symphony Season,"John Knowles Paine :  Oedipus Tyrannus (Sophocles), Op. 35: Prelude",John Knowles Paine / Conductor,George Hcnschel.,Boston Symphony Orchestra,"Sanders Thr., Harvard Univ.","Cambridge, MA, U.S.A."
,,"Hector Berlioz :  Captive, Op. 12, with alto voice",(Miss) Mary H. How / Contralto,,,,
,,"Franz Schubert :  Symphony No. 8 in B minor, D.759, ""Unfinished""",,,,,
,,"George Henschel :  Ballade: ""There Was an Ancient King"" (contralto and orchestra)",(Miss) Mary H. How / Contralto,,,,
,,"Ludwig van Beethoven :  Symphony No. 7 in A major, Op. 92",,,,,
3/3/1882,1881-82 Symphony Season,"Ignaz Moscheles :  Maid of Orleans (Schiller): Overture, Op. 91",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,Christoph Willibald Gluck :  Orfeo ed Euridice: Excerpt(s),(Miss) Mathilde Phillips / Contralto,,,,
,,"Robert Schumann :  Symphony No. 1 in B-flat major, Op. 38, ""Spring""",,,,,
,,Franz Liszt :  Hungarian Fantasy for Piano and Orchestra,(Miss) Marie Heimlicher / Piano,,,,
,,"Ludwig van Beethoven :  Leonore Overture No. 3, Op. 72b",,,,,
3/4/1882,1881-82 Symphony Season,"Ignaz Moscheles :  Maid of Orleans (Schiller): Overture, Op. 91",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,Christoph Willibald Gluck :  Orfeo ed Euridice: Excerpt(s),(Miss) Mathilde Phillips / Contralto,,,,
,,"Robert Schumann :  Symphony No. 1 in B-flat major, Op. 38, ""Spring""",,,,,
,,Franz Liszt :  Hungarian Fantasy for Piano and Orchestra,(Miss) Marie Heimlicher / Piano,,,,
,,"Ludwig van Beethoven :  Leonore Overture No. 3, Op. 72b",,,,,
3/10/1882,1881-82 Symphony Season,"John Knowles Paine :  Oedipus Tyrannus (Sophocles), Op. 35: Prelude",John Knowles Paine / Conductor,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"George Henschel :  Trio for Soprano, Tenor and Bass, from Psalm 130, Op. 31: ""If Thou, Lord, should number sins""",(Mr.) V. Cirillo / Bass (Mrs.) E. Humphrey Allen / Soprano Charles R. Adams / Tenor,,,,
,,"Felix Mendelssohn :  Midsummer Night's Dream: Incidental Music, Op. 61: (10) Wedding March",,,,,
,,"Ludwig van Beethoven :  Symphony No. 9 in D minor, Op. 125",Mixed ad hoc Chorus / Mixed Chorus (Miss) Mary H. How / Contralto (Mr.) V. Cirillo / Bass (Mrs.) E. Humphrey Allen / Soprano Charles R. Adams / Tenor,,,,
3/11/1882,1881-82 Symphony Season,"John Knowles Paine :  Oedipus Tyrannus (Sophocles), Op. 35: Prelude",John Knowles Paine / Conductor,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"George Henschel :  Trio for Soprano, Tenor and Bass, from Psalm 130, Op. 31: ""If Thou, Lord, should number sins""",(Mr.) V. Cirillo / Bass (Mrs.) E. Humphrey Allen / Soprano Charles R. Adams / Tenor,,,,
,,"Felix Mendelssohn :  Midsummer Night's Dream: Incidental Music, Op. 61: (10) Wedding March",,,,,
,,"Ludwig van Beethoven :  Symphony No. 9 in D minor, Op. 125",Mixed ad hoc Chorus / Mixed Chorus (Miss) Mary H. How / Contralto (Mr.) V. Cirillo / Bass (Mrs.) E. Humphrey Allen / Soprano Charles R. Adams / Tenor,,,,
10/6/1882,1882-83 Symphony Season,"Ludwig van Beethoven :  Consecration oft he House: Overture, Op. 124",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Robert Schumann :  Concerto for Piano in A minor, Op. 54",Carl Baermann / Piano,,,,
,,"Anton Rubinstein :  Symphony No. 5 in G minor, Op. 107, ""Russian""",,,,,
,,"Ludwig van Beethoven :  Bagatelle(s) for Piano, Unspecified",Carl Baermann / Piano,,,,
,,Franz Liszt :  Hungarian Rhapsody No. 8 for piano,Carl Baermann / Piano,,,,
,,"Johannes Brahms :  Hungarian Dance No. 11 in D minor (orch. Albert Parlow) Arr: Parlow, Albert; Orchestrated",,,,,
,,"Johannes Brahms :  Hungarian Dance No. 13 in D major (orch. Albert Parlow) Arr: Parlow, Albert; Orchestrated",,,,,
,,"Johannes Brahms :  Hungarian Dance No. 1 in G minor (orch. Brahms) Arr: Brahms, orchestrated.",,,,,
10/7/1882,1882-83 Symphony Season,"Ludwig van Beethoven :  Consecration oft he House: Overture, Op. 124",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Robert Schumann :  Concerto for Piano in A minor, Op. 54",Carl Baermann / Piano,,,,
,,"Anton Rubinstein :  Symphony No. 5 in G minor, Op. 107, ""Russian""",,,,,
,,"Ludwig van Beethoven :  Bagatelle(s) for Piano, Unspecified",Carl Baermann / Piano,,,,
,,Franz Liszt :  Hungarian Rhapsody No. 8 for piano,Carl Baermann / Piano,,,,
,,"Johannes Brahms :  Hungarian Dance No. 11 in D minor (orch. Albert Parlow) Arr: Parlow, Albert; Orchestrated",,,,,
,,"Johannes Brahms :  Hungarian Dance No. 13 in D major (orch. Albert Parlow) Arr: Parlow, Albert; Orchestrated",,,,,
,,"Johannes Brahms :  Hungarian Dance No. 1 in G minor (orch. Brahms) Arr: Brahms, orchestrated.",,,,,
10/11/1882,1882-83 Symphony Season,Richard Wagner :  Rienzi: Overture,,George Hcnschel.,Boston Symphony Orchestra,Opera House,"Newport, RI,"
,,"Daniel-François-Esprit Auber :  Actéon: Nina, jolie et sage",Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,"Ludwig van Beethoven :  Symphony No. 1 in C major, Op. 21",,,,,
,,"Franz Schubert :  Rosamunde, D.797: (2) Ballet Music No. 1 in B minor",,,,,
,,"Franz Schubert :  Rosamunde, D.797: (9) Ballet Music No. 2 in G major",,,,,
,,"George Henschel :  Folkstone (voice and piano), Op. 21 and 29: Maiden's Lament",Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,"George Henschel :  Folkstone (voice and piano), Op. 21 and 29: Der Holdseligen",Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,George Henschel :  Folkstone (voice and piano) Op. 21 and 29: Blueish Eyes,Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,Otto Nicolai :  Merry Wives of Windsor: Overture,,,,,
10/13/1882,1882-83 Symphony Season,Richard Wagner :  Rienzi: Overture,,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Richard Wagner :  Rienzi: Act 5: Prayer, ""Almighty Father, King of Kings""",Charles R. Adams / Tenor,,,,
,,"Ludwig van Beethoven :  Symphony No. 1 in C major, Op. 21",,,,,
,,"Pierre Alexandre de Monsigny :  Aline, Reine de Golconde: Chaconne et Rigadon Arr: Gevaërt, François August",,,,,
,,Daniel-François-Esprit Auber :  Muette de Portici: La (Masaniello): Slumber Air,Charles R. Adams / Tenor,,,,
,,"Daniel-François-Esprit Auber :  Muette de Portici, La (Masaniello): Overture",,,,,
10/14/1882,1882-83 Symphony Season,Richard Wagner :  Rienzi: Overture,,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Richard Wagner :  Rienzi: Act 5: Prayer, ""Almighty Father, King of Kings""",Charles R. Adams / Tenor,,,,
,,"Ludwig van Beethoven :  Symphony No. 1 in C major, Op. 21",,,,,
,,"Pierre Alexandre de Monsigny :  Aline, Reine de Golconde: Chaconne et Rigadon Arr: Gevaërt, François August",,,,,
,,Daniel-François-Esprit Auber :  Muette de Portici: La (Masaniello): Slumber Air,Charles R. Adams / Tenor,,,,
,,"Daniel-François-Esprit Auber :  Muette de Portici, La (Masaniello): Overture",,,,,
10/20/1882,1882-83 Symphony Season,"Niels Gade :  Overture: Nachklange von Ossian, Op. 1",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Max Bruch :  Concerto for Violin No. 1 in G minor, Op. 26","Louis Schmidt, Jr. / Violin",,,,
,,Franz Joseph Haydn :  Symphony No. 97 in C major (B. & H. No. 7),,,,,
,,"Woldemar Bargiel :  Adagio for Cello and Orchestra, Op. 38",Wilhelm Mueller / Cello,,,,
,,"Felix Mendelssohn :  Ruy Blas: Overture, Op. 95",,,,,
10/21/1882,1882-83 Symphony Season,"Niels Gade :  Overture: Nachklange von Ossian, Op. 1",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Max Bruch :  Concerto for Violin No. 1 in G minor, Op. 26","Louis Schmidt, Jr. / Violin",,,,
,,Franz Joseph Haydn :  Symphony No. 97 in C major (B. & H. No. 7),,,,,
,,"Woldemar Bargiel :  Adagio for Cello and Orchestra, Op. 38",Wilhelm Mueller / Cello,,,,
,,"Felix Mendelssohn :  Ruy Blas: Overture, Op. 95",,,,,
10/26/1882,1882-83 Symphony Season,"Ludwig van Beethoven :  Consecration oft he House: Overture, Op. 124",Henrietta Beebe / Soprano,George Hcnschel.,Boston Symphony Orchestra,Mechanic Hall,"Salem, MA,"
,,Charles Gounod :  Funeral March of a Marionette (arr. for orchestra),Henrietta Beebe / Soprano,,,,
,,George Frideric Handel :  Rodelinda [Queen of the Lombards]: Mi Caro Bene,Henrietta Beebe / Soprano,,,,
,,Franz Joseph Haydn :  Symphony No. 97 in C major (B. & H. No. 7),Henrietta Beebe / Soprano,,,,
,,Felix Mendelssohn :  Charmer (voice and piano),Henrietta Beebe / Soprano,,,,
,,Felix Mendelssohn :  Italy (voice and piano),Henrietta Beebe / Soprano,,,,
,,Richard Wagner :  Rienzi: Overture,,,,,
10/27/1882,1882-83 Symphony Season,Carl Maria von Weber :  Freischütz: Overture,,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,George Frideric Handel :  Rodelinda [Queen of the Lombards]: Mi Caro Bene,Henrietta Beebe / Soprano,,,,
,,"Johannes Brahms :  Serenade No. 1 in D major, Op. 11",,,,,
,,Charles Gounod :  Funeral March of a Marionette (arr. for orchestra),,,,,
,,Felix Mendelssohn :  Italy (voice and piano),Henrietta Beebe / Soprano,,,,
,,Felix Mendelssohn :  Charmer (voice and piano),Henrietta Beebe / Soprano,,,,
,,Karl Goldmark :  Sakuntala Overture,,,,,
10/28/1882,1882-83 Symphony Season,Carl Maria von Weber :  Freischütz: Overture,,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,George Frideric Handel :  Rodelinda [Queen of the Lombards]: Mi Caro Bene,Henrietta Beebe / Soprano,,,,
,,"Johannes Brahms :  Serenade No. 1 in D major, Op. 11",,,,,
,,Charles Gounod :  Funeral March of a Marionette (arr. for orchestra),,,,,
,,Felix Mendelssohn :  Italy (voice and piano),Henrietta Beebe / Soprano,,,,
,,Felix Mendelssohn :  Charmer (voice and piano),Henrietta Beebe / Soprano,,,,
,,Karl Goldmark :  Sakuntala Overture,,,,,
11/2/1882,1882-83 Symphony Season,"Ludwig van Beethoven :  Symphony No. 2 in D major, Op. 36",,George Hcnschel.,Boston Symphony Orchestra,unknown location,"Worcester, MA, U.S.A."
,,"Max Bruch :  Concerto for Violin No. 1 in G minor, Op. 26: Excerpt(s)","Louis Schmidt, Jr. / Violin",,,,
,,Charles Gounod :  Funeral March of a Marionette (arr. for orchestra),,,,,
,,Adolf Jensen :  An der Linden (voice and piano),(Mrs.) E. Humphrey Allen / Soprano,,,,
,,"Anton Rubinstein :  Scena & Aria, E Dunque Vir?",(Mrs.) E. Humphrey Allen / Soprano,,,,
,,"Pyotr Ilyich Tchaikovsky :  Songs (6), Op. 6: (6) Nur wer die Sehnsucht kennt [None but the lonely heart]",(Mrs.) E. Humphrey Allen / Soprano,,,,
,,Richard Wagner :  Rienzi: Overture,,,,,
,,Carl Maria von Weber :  Freischütz: Overture,,,,,
11/3/1882,1882-83 Symphony Season,"Luigi Cherubini :  Hôtellerie portugaise, L' [The Portuguese Inn]: Overture",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Felix Mendelssohn :  Capriccio brillant in B minor for Piano and Orchestra, Op. 22",(Miss) Olga Von Radecki / Piano,,,,
,,"Ludwig van Beethoven :  Symphony No. 2 in D major, Op. 36",,,,,
,,Carl Reinecke :  King Manfred: Entr'acte,,,,,
,,"Frédéric Chopin :  Andante Spianato and Grande Polonaise Brillante No. 58, Op. 22",(Miss) Olga Von Radecki / Piano,,,,
,,"Camille Saint-Saëns :  Danse Macabre, Op. 40 (Symphonic Poem No. 3)",,,,,
11/4/1882,1882-83 Symphony Season,"Luigi Cherubini :  Hôtellerie portugaise, L' [The Portuguese Inn]: Overture",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Felix Mendelssohn :  Capriccio brillant in B minor for Piano and Orchestra, Op. 22",(Miss) Olga Von Radecki / Piano,,,,
,,"Ludwig van Beethoven :  Symphony No. 2 in D major, Op. 36",,,,,
,,Carl Reinecke :  King Manfred: Entr'acte,,,,,
,,"Frédéric Chopin :  Andante Spianato and Grande Polonaise Brillante No. 58, Op. 22",(Miss) Olga Von Radecki / Piano,,,,
,,"Camille Saint-Saëns :  Danse Macabre, Op. 40 (Symphonic Poem No. 3)",,,,,
11/9/1882,1882-83 Symphony Season,"Niels Gade :  Overture: Nachklange von Ossian, Op. 1",,George Hcnschel.,Boston Symphony Orchestra,"Sanders Thr., Harvard Univ.","Cambridge, MA, U.S.A."
,,"Alessandro Stradella :  Aria de Chiesa: ""Pietà Signore""",Emily Winant / Contralto,,,,
,,Franz Joseph Haydn :  Symphony No. 97 in C major (B. & H. No. 7),,,,,
,,Carl Reinecke :  King Manfred: Entr'acte,,,,,
,,"Wolfgang Amadeus Mozart :  Nozze di Figaro [Marriage of Figaro], K. 492: Act 2: Page's Aria, Voi che sapete",Emily Winant / Contralto,,,,
,,Richard Wagner :  Rienzi: Overture,,,,,
11/9/1882,1882-83 Symphony Season,"Niels Gade :  Overture: Nachklange von Ossian, Op. 1",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Charles-Marie Widor :  Lia è Morta, voice & piano",Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,Felix Mendelssohn :  Rhenish Folksong (voice and piano),Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,Carl Reinecke :  King Manfred: Entr'acte,,,,,
,,"George Henschel :  Oh, That We Two Were Maying (vocal duet)",George Henschel / Baritone Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,Franz Joseph Haydn :  Symphony No. 97 in C major (B. & H. No. 7),,,,,
11/10/1882,1882-83 Symphony Season,Richard Wagner :  Parsifal: Act I: Prelude,,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Alessandro Stradella :  Aria de Chiesa: ""Pietà Signore""",Emily Winant / Contralto,,,,
,,"Robert Schumann :  Symphony No. 4 in D minor, Op. 120, Rev. 1851",,,,,
,,"Wolfgang Amadeus Mozart :  Nozze di Figaro [Marriage of Figaro], K. 492: Act 2: Page's Aria, Voi che sapete",Emily Winant / Contralto,,,,
,,Richard Wagner :  Parsifal: Act I: Prelude,,,,,
,,Richard Wagner :  Huldigungs Marsch [March of Homage],,,,,
11/11/1882,1882-83 Symphony Season,Richard Wagner :  Parsifal: Act I: Prelude,,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Alessandro Stradella :  Aria de Chiesa: ""Pietà Signore""",Emily Winant / Contralto,,,,
,,"Robert Schumann :  Symphony No. 4 in D minor, Op. 120, Rev. 1851",,,,,
,,"Wolfgang Amadeus Mozart :  Nozze di Figaro [Marriage of Figaro], K. 492: Act 2: Page's Aria, Voi che sapete",Emily Winant / Contralto,,,,
,,Richard Wagner :  Parsifal: Act I: Prelude,,,,,
,,Richard Wagner :  Huldigungs Marsch [March of Homage],,,,,
11/16/1882,1882-83 Symphony Season,"Heinrich Wilhelm Ernst :  Concerto for Violin in F-Sharp minor in One Movement, Op. 23",Bernhard Listemann / Violin,George Hcnschel.,Boston Symphony Orchestra,Unknown location,"Providence, RI, U.S.A."
,,Charles Gounod :  Funeral March of a Marionette (arr. for orchestra),,,,,
,,Franz Joseph Haydn :  Creation Oratorio: With Verdure Clad (aria),Alice C. Ward / Soprano,,,,
,,"Wolfgang Amadeus Mozart :  Symphony No. 36 in C major, K. 425, ""Linz""",,,,,
,,"Richard Wagner :  Meistersinger: Act I: Pogner's Address (Das SchÖne Fest, Johannistag)",George Henschel / Baritone,,,,
,,Richard Wagner :  Rienzi: Overture,,,,,
,,Carl Maria von Weber :  Freischütz: Overture,,,,,
11/17/1882,1882-83 Symphony Season,"Johannes Brahms :  Academic Festival Overture, Op. 80",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Heinrich Wilhelm Ernst :  Concerto for Violin in F-Sharp minor in One Movement, Op. 23",Bernhard Listemann / Violin,,,,
,,"Wolfgang Amadeus Mozart :  Symphony No. 36 in C major, K. 425, ""Linz""",,,,,
,,"Ludwig van Beethoven :  Creatures of Prometheus, Op. 43: (16) Finale",,,,,
,,"Henri Vieuxtemps :  Fantasy On Slavonic Melodies for Violin & Orch., Op. 21",Bernhard Listemann / Violin,,,,
,,"Daniel-François-Esprit Auber :  Lac des Fées, Le: Overture",,,,,
11/18/1882,1882-83 Symphony Season,"Johannes Brahms :  Academic Festival Overture, Op. 80",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Heinrich Wilhelm Ernst :  Concerto for Violin in F-Sharp minor in One Movement, Op. 23",Bernhard Listemann / Violin,,,,
,,"Wolfgang Amadeus Mozart :  Symphony No. 36 in C major, K. 425, ""Linz""",,,,,
,,"Ludwig van Beethoven :  Creatures of Prometheus, Op. 43: (16) Finale",,,,,
,,"Henri Vieuxtemps :  Fantasy On Slavonic Melodies for Violin & Orch., Op. 21",Bernhard Listemann / Violin,,,,
,,"Daniel-François-Esprit Auber :  Lac des Fées, Le: Overture",,,,,
11/24/1882,1882-83 Symphony Season,"Karl Grammann :  Melusine: Overture, Op. 24",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,George Frideric Handel :  Alessandro: Lusinghe più care,Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,"Ludwig van Beethoven :  Symphony No. 3 in E-flat major, Op. 55, ""Eroica""",,,,,
,,"Robert Volkmann :  Serenade for Strings No. 2, in F major, Op. 63",,,,,
,,"Carl Maria von Weber :  Freischütz: Act III: UND OB DIE WOLKE SIE VERHüLLE, CAVATINA (Agatha)",Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,Giacomo Meyerbeer :  Struensee: Polonaise,,,,,
11/24/1882,1882-83 Symphony Season,Franz Joseph Haydn :  Creation Oratorio: With Verdure Clad (aria),Alice C. Ward / Soprano,George Hcnschel.,Boston Symphony Orchestra,Mechanic Hall,"Salem, MA,"
,,"Felix Mendelssohn :  Capriccio brillant in B minor for Piano and Orchestra, Op. 22",(Miss) Olga Von Radecki / Piano,,,,
,,Carl Reinecke :  King Manfred: Entr'acte,,,,,
,,"Camille Saint-Saëns :  Danse Macabre, Op. 40 (Symphonic Poem No. 3)",,,,,
,,"Robert Schumann :  Symphony No. 4 in D minor, Op. 120, Rev. 1851",,,,,
,,"Henri Vieuxtemps :  Fantasy On Slavonic Melodies for Violin & Orch., Op. 21",Bernhard Listemann / Violin,,,,
,,Carl Maria von Weber :  Freischütz: Overture,,,,,
11/25/1882,1882-83 Symphony Season,"Karl Grammann :  Melusine: Overture, Op. 24",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,George Frideric Handel :  Alessandro: Lusinghe più care,Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,"Ludwig van Beethoven :  Symphony No. 3 in E-flat major, Op. 55, ""Eroica""",,,,,
,,"Robert Volkmann :  Serenade for Strings No. 2, in F major, Op. 63",,,,,
,,"Carl Maria von Weber :  Freischütz: Act III: UND OB DIE WOLKE SIE VERHüLLE, CAVATINA (Agatha)",Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,Giacomo Meyerbeer :  Struensee: Polonaise,,,,,
11/30/1882,1882-83 Symphony Season,"Woldemar Bargiel :  Adagio for Cello and Orchestra, Op. 38",Wilhelm Mueller / Cello,George Hcnschel.,Boston Symphony Orchestra,unknown location,"Worcester, MA, U.S.A."
,,George Frideric Handel :  Alessandro: Lusinghe più care,Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,Otto Nicolai :  Merry Wives of Windsor: Overture,,,,,
,,Carl Reinecke :  King Manfred: Entr'acte,,,,,
,,"Robert Schumann :  Symphony No. 4 in D minor, Op. 120, Rev. 1851",,,,,
,,Richard Wagner :  Parsifal: Act I: Prelude,,,,,
,,"Carl Maria von Weber :  Freischütz: Act III: UND OB DIE WOLKE SIE VERHüLLE, CAVATINA (Agatha)",Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
12/1/1882,1882-83 Symphony Season,Robert Schumann :  Braut Von Messina [Bride of Messina]: Overture,,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,George Henschel :  Concerto for Piano in E-flat,Carl Baermann / Piano,,,,
,,"Franz Schubert :  Symphony No. 8 in B minor, D.759, ""Unfinished""",,,,,
,,"Ludwig van Beethoven :  Variations (32) in C minor for piano on an original theme, WoO 80",Carl Baermann / Piano,,,,
,,"Antonin Dvorák :  Slavonic Dances, Op. 46, No. 3 in A-flat major",,,,,
12/2/1882,1882-83 Symphony Season,Robert Schumann :  Braut Von Messina [Bride of Messina]: Overture,,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,George Henschel :  Concerto for Piano in E-flat,Carl Baermann / Piano,,,,
,,"Franz Schubert :  Symphony No. 8 in B minor, D.759, ""Unfinished""",,,,,
,,"Ludwig van Beethoven :  Variations (32) in C minor for piano on an original theme, WoO 80",Carl Baermann / Piano,,,,
,,"Antonin Dvorák :  Slavonic Dances, Op. 46, No. 3 in A-flat major",,,,,
12/7/1882,1882-83 Symphony Season,"Karl Grammann :  Melusine: Overture, Op. 24",,George Hcnschel.,Boston Symphony Orchestra,"Sanders Thr., Harvard Univ.","Cambridge, MA, U.S.A."
,,"Carl Maria von Weber :  Freischütz: Act III: UND OB DIE WOLKE SIE VERHüLLE, CAVATINA (Agatha)",Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,"Ludwig van Beethoven :  Symphony No. 3 in E-flat major, Op. 55, ""Eroica""",,,,,
,,"Robert Volkmann :  Serenade for Strings No. 2, in F major, Op. 63",,,,,
,,"Daniel-François-Esprit Auber :  Actéon: Nina, jolie et sage",Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,"Johannes Brahms :  Academic Festival Overture, Op. 80",,,,,
12/8/1882,1882-83 Symphony Season,"Carl Maria von Weber :  Euryanthe: Overture, Op. 81",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Camille Saint-Saëns :  Concerto for Piano No. 2 in G minor, Op. 22",Otto Bendix / Piano,,,,
,,"Friedrich Gernsheim :  Symphony No. 2 in E-flat major, Op. 46",,,,,
,,"Wolfgang Amadeus Mozart :  Idomeneo, K. 366: Act 3: Zeffiretti lusinghieri [Gentle zephyrs]",(Mrs.) H. F. Knowles / Soprano,,,,
,,"Anton Rubinstein :  Feramors: Ballet Music: (1) Dance of the Bayaderes Arr: Rubinstein, Anton",,,,,
,,"Anton Rubinstein :  Feramors: Ballet Music: (2) Candle-Dance of the Brides of Kashmir Arr: Rubinstein, Anton",,,,,
,,"Anton Rubinstein :  Feramors: Ballet Music: (3) Wedding March Arr: Rubinstein, Anton",,,,,
12/9/1882,1882-83 Symphony Season,"Carl Maria von Weber :  Euryanthe: Overture, Op. 81",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Camille Saint-Saëns :  Concerto for Piano No. 2 in G minor, Op. 22",Otto Bendix / Piano,,,,
,,"Friedrich Gernsheim :  Symphony No. 2 in E-flat major, Op. 46",,,,,
,,"Wolfgang Amadeus Mozart :  Idomeneo, K. 366: Act 3: Zeffiretti lusinghieri [Gentle zephyrs]",(Mrs.) H. F. Knowles / Soprano,,,,
,,"Anton Rubinstein :  Feramors: Ballet Music: (1) Dance of the Bayaderes Arr: Rubinstein, Anton",,,,,
,,"Anton Rubinstein :  Feramors: Ballet Music: (2) Candle-Dance of the Brides of Kashmir Arr: Rubinstein, Anton",,,,,
,,"Anton Rubinstein :  Feramors: Ballet Music: (3) Wedding March Arr: Rubinstein, Anton",,,,,
12/15/1882,1882-83 Symphony Season,"Daniel-François-Esprit Auber :  Actéon: Nina, jolie et sage",Lillian Bailey (Mrs. Georg) Henschel / Soprano,George Hcnschel.,Boston Symphony Orchestra,unknown location,"New Bedford, MA, U.S.A."
,,"George Henschel :  Lullaby (voice and piano) O hush thee, my baby, thy Sire is a knight",Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,Carl Reinecke :  King Manfred: Entr'acte,,,,,
,,"Robert Schumann :  Symphony No. 4 in D minor, Op. 120, Rev. 1851",,,,,
,,"Henri Vieuxtemps :  Fantasy On Slavonic Melodies for Violin & Orch., Op. 21",Bernhard Listemann / Violin,,,,
,,Carl Maria von Weber :  Freischütz: Overture,,,,,
12/15/1882,1882-83 Symphony Season,"Max Bruch :  Loreley, Op. 16: Prelude",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Wolfgang Amadeus Mozart :  Per pietà, non ricercate [Pity's Sake], K. 420, for Anfossi's ""Il curioso Iidiscreto""",Anna Drasdil / Soprano,,,,
,,"Ludwig van Beethoven :  Symphony No. 4 in B-flat major, Op. 60",,,,,
,,"Franz Schubert :  Rosamunde, D.797: (2) Ballet Music No. 1 in B minor",,,,,
,,"Franz Schubert :  Rosamunde, D.797: (9) Ballet Music No. 2 in G major",,,,,
,,"Christoph Willibald Gluck :  Paride ed Elena, Act I: ""O del mio dolce ardor""",Anna Drasdil / Soprano,,,,
,,Richard Wagner :  Tannhäuser: Overture,,,,,
12/16/1882,1882-83 Symphony Season,"Max Bruch :  Loreley, Op. 16: Prelude",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Wolfgang Amadeus Mozart :  Per pietà, non ricercate [Pity's Sake], K. 420, for Anfossi's ""Il curioso Iidiscreto""",Anna Drasdil / Soprano,,,,
